User_ID,Display_Name,Reputation,Gold_Badges,Silver_Badges,Bronze_Badges,Link,AI_Decision,Match_Score
698179,Rudi Visser,22149,6,74,97,https://stackoverflow.com/users/698179/rudi-visser,BAD PICK,0.0
160665,exhuma,22151,16,97,139,https://stackoverflow.com/users/160665/exhuma,BAD PICK,0.0
243494,Kyle,22153,40,116,202,https://stackoverflow.com/users/243494/kyle,BAD PICK,0.0
635654,CygnusX1,22137,5,76,122,https://stackoverflow.com/users/635654/cygnusx1,BAD PICK,0.0
450398,Grodriguez,22137,11,72,118,https://stackoverflow.com/users/450398/grodriguez,BAD PICK,0.0
54197,MrM,22129,31,118,142,https://stackoverflow.com/users/54197/mrm,BAD PICK,0.0
409,Brian Deacon,22122,13,41,41,https://stackoverflow.com/users/409/brian-deacon,BAD PICK,0.0
2266130,Jeroen van Langen,22136,3,46,63,https://stackoverflow.com/users/2266130/jeroen-van-langen,BAD PICK,0.0
44089,Bananeweizen,22134,8,74,92,https://stackoverflow.com/users/44089/bananeweizen,BAD PICK,0.0
664177,Guru,22102,10,69,106,https://stackoverflow.com/users/664177/guru,BAD PICK,0.0
62951,Antony Scott,22102,12,64,96,https://stackoverflow.com/users/62951/antony-scott,BAD PICK,0.0
1562138,fvgs,22102,9,37,49,https://stackoverflow.com/users/1562138/fvgs,BAD PICK,0.0
10375049,Marco Cerliani,22101,3,58,61,https://stackoverflow.com/users/10375049/marco-cerliani,BAD PICK,0.0
47680,Artem Russakovskii,22100,18,98,120,https://stackoverflow.com/users/47680/artem-russakovskii,BAD PICK,0.0
220129,John,22097,44,118,156,https://stackoverflow.com/users/220129/john,BAD PICK,0.0
249571,DD.,22121,54,165,252,https://stackoverflow.com/users/249571/dd,BAD PICK,0.0
924597,Shorn,22120,19,110,209,https://stackoverflow.com/users/924597/shorn,BAD PICK,0.0
1280587,paul,22119,1,56,54,https://stackoverflow.com/users/1280587/paul,BAD PICK,0.0
261217,Mikhail,22117,8,83,161,https://stackoverflow.com/users/261217/mikhail,BAD PICK,0.0
1079573,rvighne,22117,11,54,75,https://stackoverflow.com/users/1079573/rvighne,BAD PICK,0.0
216356,Noctis Skytower,22111,16,87,124,https://stackoverflow.com/users/216356/noctis-skytower,BAD PICK,0.0
570689,??????? ???????,22110,11,83,133,https://stackoverflow.com/users/570689/%d0%94%d0%9c%d0%98%d0%a2%d0%a0%d0%98%d0%99-%d0%9c%d0%90%d0%9b%d0%98%d0%9a%d0%9e%d0%92,BAD PICK,0.0
151792,jessecurry,22106,8,54,44,https://stackoverflow.com/users/151792/jessecurry,BAD PICK,0.0
5050667,Yassin Hajaj,22105,10,60,93,https://stackoverflow.com/users/5050667/yassin-hajaj,BAD PICK,0.0
451941,Jeen Broekstra,22103,4,60,76,https://stackoverflow.com/users/451941/jeen-broekstra,BAD PICK,0.0
110762,Austin Hanson,22080,6,38,43,https://stackoverflow.com/users/110762/austin-hanson,BAD PICK,0.0
1464696,Reinmar,22081,4,70,80,https://stackoverflow.com/users/1464696/reinmar,BAD PICK,0.0
577334,billygoat,22084,5,44,50,https://stackoverflow.com/users/577334/billygoat,BAD PICK,0.0
114584,ndp,22085,5,42,52,https://stackoverflow.com/users/114584/ndp,BAD PICK,0.0
43337,Richard,22086,13,65,102,https://stackoverflow.com/users/43337/richard,BAD PICK,0.0
570339,Ramy Al Zuhouri,22086,27,114,198,https://stackoverflow.com/users/570339/ramy-al-zuhouri,BAD PICK,0.0
558972,vijayst,22090,18,74,114,https://stackoverflow.com/users/558972/vijayst,BAD PICK,0.0
131183,Imre Kel&#233;nyi,22093,5,37,45,https://stackoverflow.com/users/131183/imre-kel%c3%a9nyi,BAD PICK,0.0
1106042,DazzaL,22093,3,53,57,https://stackoverflow.com/users/1106042/dazzal,BAD PICK,0.0
3297428,jrjc,22093,10,67,79,https://stackoverflow.com/users/3297428/jrjc,BAD PICK,0.0
257705,X10nD,22078,46,114,154,https://stackoverflow.com/users/257705/x10nd,BAD PICK,0.0
308066,dkamins,22078,7,58,62,https://stackoverflow.com/users/308066/dkamins,BAD PICK,0.0
247090,drekka,22073,15,90,147,https://stackoverflow.com/users/247090/drekka,BAD PICK,0.0
579689,Talespin_Kit,22070,34,96,145,https://stackoverflow.com/users/579689/talespin-kit,BAD PICK,0.0
334778,uberllama,22078,2,20,8,https://stackoverflow.com/users/334778/uberllama,BAD PICK,0.0
520779,mgibsonbr,22077,7,74,115,https://stackoverflow.com/users/520779/mgibsonbr,BAD PICK,0.0
14314520,Anoushiravan R,22048,3,22,44,https://stackoverflow.com/users/14314520/anoushiravan-r,BAD PICK,0.0
194676,John Himmelman,22050,22,68,83,https://stackoverflow.com/users/194676/john-himmelman,BAD PICK,0.0
946112,Krista K,22051,3,34,44,https://stackoverflow.com/users/946112/krista-k,BAD PICK,0.0
718764,Carnal,22054,6,62,76,https://stackoverflow.com/users/718764/carnal,BAD PICK,0.0
1172155,App Work,22059,5,28,38,https://stackoverflow.com/users/1172155/app-work,BAD PICK,0.0
83475,Roch,22059,29,80,123,https://stackoverflow.com/users/83475/roch,BAD PICK,0.0
356580,Sameer Segal,22063,7,45,56,https://stackoverflow.com/users/356580/sameer-segal,BAD PICK,0.0
779111,JAN,22063,69,192,341,https://stackoverflow.com/users/779111/jan,BAD PICK,0.0
165448,JZ.,22065,34,120,194,https://stackoverflow.com/users/165448/jz,BAD PICK,0.0
65736,bialix,22069,10,51,63,https://stackoverflow.com/users/65736/bialix,BAD PICK,0.0
860585,Rotem,22037,6,70,116,https://stackoverflow.com/users/860585/rotem,BAD PICK,0.0
2373249,hardkoded,22036,3,65,79,https://stackoverflow.com/users/2373249/hardkoded,BAD PICK,0.0
477451,Mansoor Siddiqui,22043,11,51,69,https://stackoverflow.com/users/477451/mansoor-siddiqui,BAD PICK,0.0
1620779,sjsam,22045,6,63,114,https://stackoverflow.com/users/1620779/sjsam,BAD PICK,0.0
306488,lisak,22041,42,159,247,https://stackoverflow.com/users/306488/lisak,BAD PICK,0.0
9299259,YOLO,22039,5,25,42,https://stackoverflow.com/users/9299259/yolo,BAD PICK,0.0
